"chromosome","start","end","tissue","tissue_type","query"
"chr17",51739672,51749600,"MCF7_BREAST_AA_amplicon4_amplicon4","BREAST","17:51739672:51749600"
"chr11",66940987,67509585,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","11:66940987:67509585"
"chr11",70546409,71088584,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","11:70546409:71088584"
"chr11",73367175,74323948,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","11:73367175:74323948"
"chr11",75134178,78588698,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","11:75134178:78588698"
"chr11",79024950,79026357,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","11:79024950:79026357"
"chr11",79073415,79073670,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","11:79073415:79073670"
"chr11",79075670,79079188,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","11:79075670:79079188"
"chr8",34664911,34783084,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","8:34664911:34783084"
"chr8",34895726,36429455,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","8:34895726:36429455"
"chr8",37051853,37621416,"MDAMB134VI_BREAST_AA_amplicon4_amplicon4","BREAST","8:37051853:37621416"
"chr17",81029060,81106970,"MDAMB157_BREAST_AA_amplicon14_amplicon14","BREAST","17:81029060:81106970"
"chr11",74126781,74686708,"MDAMB175VII_BREAST_AA_amplicon5_amplicon5","BREAST","11:74126781:74686708"
"chr11",74808043,79692285,"MDAMB175VII_BREAST_AA_amplicon5_amplicon5","BREAST","11:74808043:79692285"
"chr6",34885712,35626433,"MDAMB231_BREAST_AA_amplicon3_amplicon3","BREAST","6:34885712:35626433"
"chr6",35629744,35766787,"MDAMB231_BREAST_AA_amplicon3_amplicon3","BREAST","6:35629744:35766787"
"chr17",37778060,37827287,"MDAMB361_BREAST_AA_amplicon6_amplicon6","BREAST","17:37778060:37827287"
"chr1",113569320,113881764,"MFE280_ENDOMETRIUM_AA_amplicon14_amplicon14","ENDOMETRIUM","1:113569320:113881764"
"chr21",46910032,47035626,"MFE280_ENDOMETRIUM_AA_amplicon19_amplicon19","ENDOMETRIUM","21:46910032:47035626"
"chr3",122459156,122512077,"MFE280_ENDOMETRIUM_AA_amplicon25_amplicon25","ENDOMETRIUM","3:122459156:122512077"
"chr3",150658025,150731015,"MFE280_ENDOMETRIUM_AA_amplicon28_amplicon28","ENDOMETRIUM","3:150658025:150731015"
"chr3",176166048,177669817,"MFE280_ENDOMETRIUM_AA_amplicon29_amplicon29","ENDOMETRIUM","3:176166048:177669817"
"chr10",75962874,76835396,"MFE280_ENDOMETRIUM_AA_amplicon39_amplicon39","ENDOMETRIUM","10:75962874:76835396"
"chr12",110584591,111023608,"MFE280_ENDOMETRIUM_AA_amplicon41_amplicon41","ENDOMETRIUM","12:110584591:111023608"
"chr16",68161445,68439815,"MFE280_ENDOMETRIUM_AA_amplicon42_amplicon42","ENDOMETRIUM","16:68161445:68439815"
"chr17",37098010,37754458,"MFE280_ENDOMETRIUM_AA_amplicon45_amplicon45","ENDOMETRIUM","17:37098010:37754458"
"chr17",37773297,37803058,"MFE280_ENDOMETRIUM_AA_amplicon45_amplicon45","ENDOMETRIUM","17:37773297:37803058"
"chr11",118355318,118620643,"MFE280_ENDOMETRIUM_AA_amplicon47_amplicon47","ENDOMETRIUM","11:118355318:118620643"
"chr1",65302679,65554676,"MFE280_ENDOMETRIUM_AA_amplicon5_amplicon5","ENDOMETRIUM","1:65302679:65554676"
"chr20",43750007,43898525,"MFE280_ENDOMETRIUM_AA_amplicon55_amplicon55","ENDOMETRIUM","20:43750007:43898525"
"chr3",169514843,170519657,"MFE280_ENDOMETRIUM_AA_amplicon6_amplicon6","ENDOMETRIUM","3:169514843:170519657"
"chr3",168672310,168806044,"MFE319_ENDOMETRIUM_AA_amplicon1_amplicon1","ENDOMETRIUM","3:168672310:168806044"
"chr3",197252536,197390903,"MIAPACA2_PANCREAS_AA_amplicon3_amplicon3","PANCREAS","3:197252536:197390903"
"chr12",9719430,9719570,"MKN1_STOMACH_AA_amplicon7_amplicon7","STOMACH","12:9719430:9719570"
"chr12",24901795,25689135,"MKN1_STOMACH_AA_amplicon7_amplicon7","STOMACH","12:24901795:25689135"
"chr12",28243762,28596786,"MKN1_STOMACH_AA_amplicon7_amplicon7","STOMACH","12:28243762:28596786"
"chr12",30918792,31274776,"MKN1_STOMACH_AA_amplicon7_amplicon7","STOMACH","12:30918792:31274776"
"chr12",31274910,31357953,"MKN1_STOMACH_AA_amplicon7_amplicon7","STOMACH","12:31274910:31357953"
"chr2",219282257,219283489,"MKN1_STOMACH_AA_amplicon7_amplicon7","STOMACH","2:219282257:219283489"
"chr19",1193043,1194533,"MKN1_STOMACH_AA_amplicon7_amplicon7","STOMACH","19:1193043:1194533"
"chr11",46271843,46272783,"MKN1_STOMACH_AA_amplicon7_amplicon7","STOMACH","11:46271843:46272783"
"chr11",26929531,27796414,"MKN45_STOMACH_AA_amplicon1_amplicon1","STOMACH","11:26929531:27796414"
"chr11",29832424,29931675,"MKN45_STOMACH_AA_amplicon1_amplicon1","STOMACH","11:29832424:29931675"
"chr11",92124129,92869803,"MKN45_STOMACH_AA_amplicon1_amplicon1","STOMACH","11:92124129:92869803"
"chr11",92875850,93486663,"MKN45_STOMACH_AA_amplicon1_amplicon1","STOMACH","11:92875850:93486663"
"chr11",94912192,94913813,"MKN45_STOMACH_AA_amplicon1_amplicon1","STOMACH","11:94912192:94913813"
"chr7",112272364,113310230,"MKN45_STOMACH_AA_amplicon11_amplicon11","STOMACH","7:112272364:113310230"
"chr7",115692340,116811429,"MKN45_STOMACH_AA_amplicon11_amplicon11","STOMACH","7:115692340:116811429"
"chr7",118177974,118429690,"MKN45_STOMACH_AA_amplicon11_amplicon11","STOMACH","7:118177974:118429690"
"chr7",118430104,118831247,"MKN45_STOMACH_AA_amplicon11_amplicon11","STOMACH","7:118430104:118831247"
"chr7",118834754,121934308,"MKN45_STOMACH_AA_amplicon11_amplicon11","STOMACH","7:118834754:121934308"
"chr8",42219312,42287564,"MKN7_STOMACH_AA_amplicon1_amplicon1","STOMACH","8:42219312:42287564"
"chr11",67064886,67093070,"MKN7_STOMACH_AA_amplicon10_amplicon10","STOMACH","11:67064886:67093070"
"chr11",67108317,67408135,"MKN7_STOMACH_AA_amplicon10_amplicon10","STOMACH","11:67108317:67408135"
"chr1",234662167,235001403,"MKN7_STOMACH_AA_amplicon14_amplicon14","STOMACH","1:234662167:235001403"
"chr7",23401199,23401350,"MKN7_STOMACH_AA_amplicon14_amplicon14","STOMACH","7:23401199:23401350"
"chr20",48769700,48864868,"MKN7_STOMACH_AA_amplicon17_amplicon17","STOMACH","20:48769700:48864868"
"chr8",124044514,124171918,"MKN7_STOMACH_AA_amplicon22_amplicon22","STOMACH","8:124044514:124171918"
"chr11",77430085,77927469,"MKN7_STOMACH_AA_amplicon3_amplicon3","STOMACH","11:77430085:77927469"
"chr8",99949649,100116639,"MKN7_STOMACH_AA_amplicon4_amplicon4","STOMACH","8:99949649:100116639"
"chr8",128220885,128264224,"MKN7_STOMACH_AA_amplicon6_amplicon6","STOMACH","8:128220885:128264224"
"chr15",96591139,97006789,"MKN74_STOMACH_AA_amplicon10_amplicon10","STOMACH","15:96591139:97006789"
"chr9",36919323,37011207,"MKN74_STOMACH_AA_amplicon4_amplicon4","STOMACH","9:36919323:37011207"
"chr8",128721728,129219883,"MSTO211H_PLEURA_AA_amplicon1_amplicon1","PLEURA","8:128721728:129219883"
"chr1",6024698,6766057,"NCIH1092_LUNG_AA_amplicon1_amplicon1","LUNG","1:6024698:6766057"
"chr1",39561579,40173960,"NCIH1092_LUNG_AA_amplicon10_amplicon10","LUNG","1:39561579:40173960"
"chr1",40215130,40248160,"NCIH1092_LUNG_AA_amplicon10_amplicon10","LUNG","1:40215130:40248160"
"chr1",40248211,40275205,"NCIH1092_LUNG_AA_amplicon10_amplicon10","LUNG","1:40248211:40275205"
"chr1",40306387,40377777,"NCIH1092_LUNG_AA_amplicon10_amplicon10","LUNG","1:40306387:40377777"
"chr1",40490802,40636861,"NCIH1092_LUNG_AA_amplicon10_amplicon10","LUNG","1:40490802:40636861"
"chr1",40639828,40640280,"NCIH1092_LUNG_AA_amplicon10_amplicon10","LUNG","1:40639828:40640280"
"chr1",40647479,40807261,"NCIH1092_LUNG_AA_amplicon10_amplicon10","LUNG","1:40647479:40807261"
"chr1",37712138,37782646,"NCIH1184_LUNG_AA_amplicon3_amplicon3","LUNG","1:37712138:37782646"
"chr1",37782717,38743365,"NCIH1184_LUNG_AA_amplicon3_amplicon3","LUNG","1:37782717:38743365"
"chr1",38746420,39407251,"NCIH1184_LUNG_AA_amplicon3_amplicon3","LUNG","1:38746420:39407251"
"chr1",39409853,39759779,"NCIH1184_LUNG_AA_amplicon3_amplicon3","LUNG","1:39409853:39759779"
"chr1",39958189,41224706,"NCIH1184_LUNG_AA_amplicon3_amplicon3","LUNG","1:39958189:41224706"
"chr1",41224786,41482679,"NCIH1184_LUNG_AA_amplicon3_amplicon3","LUNG","1:41224786:41482679"
"chr4",18566474,18750951,"NCIH1299_LUNG_AA_amplicon5_amplicon5","LUNG","4:18566474:18750951"
"chr2",87623768,87623957,"NCIH1341_LUNG_AA_amplicon16_amplicon16","LUNG","2:87623768:87623957"
"chr2",87644359,87655873,"NCIH1341_LUNG_AA_amplicon16_amplicon16","LUNG","2:87644359:87655873"
"chr12",40353645,41076522,"NCIH1355_LUNG_AA_amplicon1_amplicon1","LUNG","12:40353645:41076522"
"chr12",42238877,42413446,"NCIH1355_LUNG_AA_amplicon1_amplicon1","LUNG","12:42238877:42413446"
"chr5",32106202,32167775,"NCIH1355_LUNG_AA_amplicon9_amplicon9","LUNG","5:32106202:32167775"
"chr5",32106202,32167776,"NCIH1435_LUNG_AA_amplicon7_amplicon7","LUNG","5:32106202:32167776"
"chr11",76394529,76406595,"NCIH1435_LUNG_AA_amplicon9_amplicon9","LUNG","11:76394529:76406595"
"chr11",76569335,76708578,"NCIH1435_LUNG_AA_amplicon9_amplicon9","LUNG","11:76569335:76708578"
"chr11",77116043,77444365,"NCIH1435_LUNG_AA_amplicon9_amplicon9","LUNG","11:77116043:77444365"
"chr11",77445763,78795705,"NCIH1435_LUNG_AA_amplicon9_amplicon9","LUNG","11:77445763:78795705"
"chr11",78871809,80410180,"NCIH1435_LUNG_AA_amplicon9_amplicon9","LUNG","11:78871809:80410180"
"chr11",80518827,81179517,"NCIH1435_LUNG_AA_amplicon9_amplicon9","LUNG","11:80518827:81179517"
"chr11",87347004,87355806,"NCIH1435_LUNG_AA_amplicon9_amplicon9","LUNG","11:87347004:87355806"
"chr11",88120575,88121918,"NCIH1435_LUNG_AA_amplicon9_amplicon9","LUNG","11:88120575:88121918"
"chr19",48303231,48514810,"NCIH1436_LUNG_AA_amplicon6_amplicon6","LUNG","19:48303231:48514810"
"chr17",29084296,29085422,"NCIH1437_LUNG_AA_amplicon11_amplicon11","LUNG","17:29084296:29085422"
"chr17",30166679,30288697,"NCIH1437_LUNG_AA_amplicon11_amplicon11","LUNG","17:30166679:30288697"
"chr5",596970,1956226,"NCIH1437_LUNG_AA_amplicon6_amplicon6","LUNG","5:596970:1956226"
"chr5",1956777,3455640,"NCIH1437_LUNG_AA_amplicon6_amplicon6","LUNG","5:1956777:3455640"
"chr5",20463978,20464173,"NCIH1437_LUNG_AA_amplicon6_amplicon6","LUNG","5:20463978:20464173"
"chr3",181407126,181929194,"NCIH146_LUNG_AA_amplicon1_amplicon1","LUNG","3:181407126:181929194"
"chr6",168333545,168597750,"NCIH146_LUNG_AA_amplicon7_amplicon7","LUNG","6:168333545:168597750"
"chr5",14024165,14325336,"NCIH1651_LUNG_AA_amplicon1_amplicon1","LUNG","5:14024165:14325336"
"chr19",21272711,21334762,"NCIH1651_LUNG_AA_amplicon19_amplicon19","LUNG","19:21272711:21334762"
"chr19",23698456,23908578,"NCIH1651_LUNG_AA_amplicon2_amplicon2","LUNG","19:23698456:23908578"
"chr19",24055997,24151063,"NCIH1651_LUNG_AA_amplicon2_amplicon2","LUNG","19:24055997:24151063"
"chr18",333636,453158,"NCIH1651_LUNG_AA_amplicon26_amplicon26","LUNG","18:333636:453158"
"chr3",195343720,195449790,"NCIH1651_LUNG_AA_amplicon29_amplicon29","LUNG","3:195343720:195449790"
"chr17",29706453,30219001,"NCIH1651_LUNG_AA_amplicon9_amplicon9","LUNG","17:29706453:30219001"
"chr1",200622885,201093169,"NCIH1651_LUNG_AA_amplicon9_amplicon9","LUNG","1:200622885:201093169"
"chr4",59428995,59435796,"NCIH1693_LUNG_AA_amplicon14_amplicon14","LUNG","4:59428995:59435796"
"chr1",39769215,40408781,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:39769215:40408781"
"chr1",40410284,40437010,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:40410284:40437010"
"chr1",160264151,160316104,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:160264151:160316104"
"chr1",160381854,160495600,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:160381854:160495600"
"chr1",160547417,160594044,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:160547417:160594044"
"chr1",161093036,161101938,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:161093036:161101938"
"chr1",161115670,161116964,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:161115670:161116964"
"chr1",161776882,161846195,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:161776882:161846195"
"chr1",164796667,164869063,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:164796667:164869063"
"chr1",176966754,177012928,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:176966754:177012928"
"chr1",230642648,230670007,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:230642648:230670007"
"chr1",230940189,231037459,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:230940189:231037459"
"chr1",231530717,231622560,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:231530717:231622560"
"chr1",231692793,231762582,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:231692793:231762582"
"chr1",231763978,231771408,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:231763978:231771408"
"chr1",243430544,243655141,"NCIH1694_LUNG_AA_amplicon12_amplicon12","LUNG","1:243430544:243655141"
"chr3",195343735,195449794,"NCIH1694_LUNG_AA_amplicon4_amplicon4","LUNG","3:195343735:195449794"
"chr8",34734744,37050885,"NCIH1703_LUNG_AA_amplicon1_amplicon1","LUNG","8:34734744:37050885"
"chr8",37051853,40289706,"NCIH1703_LUNG_AA_amplicon1_amplicon1","LUNG","8:37051853:40289706"
"chr8",40296281,40552487,"NCIH1703_LUNG_AA_amplicon1_amplicon1","LUNG","8:40296281:40552487"
"chr4",52960885,52996294,"NCIH1703_LUNG_AA_amplicon15_amplicon15","LUNG","4:52960885:52996294"
"chr4",53327969,53577319,"NCIH1703_LUNG_AA_amplicon15_amplicon15","LUNG","4:53327969:53577319"
"chr8",128623083,129342107,"NCIH1792_LUNG_AA_amplicon18_amplicon18","LUNG","8:128623083:129342107"
"chr8",129391855,129392592,"NCIH1792_LUNG_AA_amplicon18_amplicon18","LUNG","8:129391855:129392592"
"chr8",129471265,129702476,"NCIH1792_LUNG_AA_amplicon18_amplicon18","LUNG","8:129471265:129702476"
"chr2",58002811,62823328,"NCIH1792_LUNG_AA_amplicon19_amplicon19","LUNG","2:58002811:62823328"
"chr2",39154183,39328052,"NCIH1792_LUNG_AA_amplicon22_amplicon22","LUNG","2:39154183:39328052"
"chr12",65570578,65690216,"NCIH1792_LUNG_AA_amplicon23_amplicon23","LUNG","12:65570578:65690216"
"chr4",149592083,151310206,"NCIH1792_LUNG_AA_amplicon6_amplicon6","LUNG","4:149592083:151310206"
"chr12",104566580,104718663,"NCIH1793_LUNG_AA_amplicon10_amplicon10","LUNG","12:104566580:104718663"
"chr3",195341989,195449771,"NCIH1793_LUNG_AA_amplicon4_amplicon4","LUNG","3:195341989:195449771"
"chr19",1813482,1919117,"NCIH1793_LUNG_AA_amplicon8_amplicon8","LUNG","19:1813482:1919117"
"chr5",355966,669164,"NCIH1836_LUNG_AA_amplicon11_amplicon11","LUNG","5:355966:669164"
"chr1",38109452,38187464,"NCIH1836_LUNG_AA_amplicon8_amplicon8","LUNG","1:38109452:38187464"
"chr1",39047043,39047162,"NCIH1836_LUNG_AA_amplicon8_amplicon8","LUNG","1:39047043:39047162"
"chr1",39127549,39163274,"NCIH1836_LUNG_AA_amplicon8_amplicon8","LUNG","1:39127549:39163274"
"chr1",39773180,40569602,"NCIH1836_LUNG_AA_amplicon8_amplicon8","LUNG","1:39773180:40569602"
"chr1",41233804,41575450,"NCIH1836_LUNG_AA_amplicon8_amplicon8","LUNG","1:41233804:41575450"
"chr16",33331663,33428529,"NCIH1876_LUNG_AA_amplicon10_amplicon10","LUNG","16:33331663:33428529"
"chr6",296060,382460,"NCIH1876_LUNG_AA_amplicon10_amplicon10","LUNG","6:296060:382460"
"chr5",683846,775925,"NCIH196_LUNG_AA_amplicon4_amplicon4","LUNG","5:683846:775925"
"chr1",40131958,40646925,"NCIH1963_LUNG_AA_amplicon2_amplicon2","LUNG","1:40131958:40646925"
"chr1",40649690,40796620,"NCIH1963_LUNG_AA_amplicon2_amplicon2","LUNG","1:40649690:40796620"
"chr1",40867522,41122575,"NCIH1963_LUNG_AA_amplicon2_amplicon2","LUNG","1:40867522:41122575"
"chr18",61802280,63766872,"NCIH1963_LUNG_AA_amplicon4_amplicon4","LUNG","18:61802280:63766872"
"chr18",63769200,65295568,"NCIH1963_LUNG_AA_amplicon4_amplicon4","LUNG","18:63769200:65295568"
"chr18",65317246,66284623,"NCIH1963_LUNG_AA_amplicon4_amplicon4","LUNG","18:65317246:66284623"
"chr18",67449198,69712015,"NCIH1963_LUNG_AA_amplicon4_amplicon4","LUNG","18:67449198:69712015"
"chr18",69712888,70873166,"NCIH1963_LUNG_AA_amplicon4_amplicon4","LUNG","18:69712888:70873166"
"chr8",127531498,129286862,"NCIH1975_LUNG_AA_amplicon5_amplicon5","LUNG","8:127531498:129286862"
"chr1",36868757,41992314,"NCIH2029_LUNG_AA_amplicon4_amplicon4","LUNG","1:36868757:41992314"
"chr1",41992940,42503535,"NCIH2029_LUNG_AA_amplicon4_amplicon4","LUNG","1:41992940:42503535"
"chr14",62840050,62916615,"NCIH2029_LUNG_AA_amplicon5_amplicon5","LUNG","14:62840050:62916615"
"chr2",210866885,211061621,"NCIH2030_LUNG_AA_amplicon19_amplicon19","LUNG","2:210866885:211061621"
"chr17",80169610,80171833,"NCIH2030_LUNG_AA_amplicon19_amplicon19","LUNG","17:80169610:80171833"
"chr5",710208,847121,"NCIH2052_PLEURA_AA_amplicon14_amplicon14","PLEURA","5:710208:847121"
"chr8",101146023,101246936,"NCIH2066_LUNG_AA_amplicon11_amplicon11","LUNG","8:101146023:101246936"
"chr18",19246901,19292824,"NCIH2066_LUNG_AA_amplicon2_amplicon2","LUNG","18:19246901:19292824"
"chrX",65052706,65127656,"NCIH2081_LUNG_AA_amplicon18_amplicon18","LUNG","X:65052706:65127656"
"chr8",84403728,84410682,"NCIH2081_LUNG_AA_amplicon18_amplicon18","LUNG","8:84403728:84410682"
"chr8",138482443,138484848,"NCIH2081_LUNG_AA_amplicon18_amplicon18","LUNG","8:138482443:138484848"
"chr1",31849629,31855470,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:31849629:31855470"
"chr1",31914375,32035673,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:31914375:32035673"
"chr1",32072855,32260645,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:32072855:32260645"
"chr1",34599971,34650602,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:34599971:34650602"
"chr1",34739835,34742595,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:34739835:34742595"
"chr1",34764174,34776115,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:34764174:34776115"
"chr1",34897314,34994007,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:34897314:34994007"
"chr1",35038847,35343025,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:35038847:35343025"
"chr1",35349469,35364391,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:35349469:35364391"
"chr1",35467552,35718465,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:35467552:35718465"
"chr1",35728489,35799542,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:35728489:35799542"
"chr1",35839785,35842062,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:35839785:35842062"
"chr1",37191698,37276504,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:37191698:37276504"
"chr1",37310121,37370319,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:37310121:37370319"
"chr1",37404967,37415613,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:37404967:37415613"
"chr1",37417924,37580571,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:37417924:37580571"
"chr1",37639677,38056538,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:37639677:38056538"
"chr1",38103864,38284463,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:38103864:38284463"
"chr1",38365064,38382074,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:38365064:38382074"
"chr1",38382298,38672119,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:38382298:38672119"
"chr1",38686498,38702289,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:38686498:38702289"
"chr1",38704477,38742190,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:38704477:38742190"
"chr1",38876004,38907740,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:38876004:38907740"
"chr1",38965435,39017290,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:38965435:39017290"
"chr1",39102651,39116616,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:39102651:39116616"
"chr1",39344882,39376474,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:39344882:39376474"
"chr1",120765621,120765820,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:120765621:120765820"
"chr1",120886377,120931464,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:120886377:120931464"
"chr1",121196362,121208361,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:121196362:121208361"
"chr1",121211205,121229161,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:121211205:121229161"
"chr1",121233077,121251368,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:121233077:121251368"
"chr1",121292175,121295280,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","1:121292175:121295280"
"chr8",126539210,126558190,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:126539210:126558190"
"chr8",126576015,126677305,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:126576015:126677305"
"chr8",127822031,128065953,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:127822031:128065953"
"chr8",128203395,128538613,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:128203395:128538613"
"chr8",128580852,128585687,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:128580852:128585687"
"chr8",128598762,128711416,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:128598762:128711416"
"chr8",128721071,128754222,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:128721071:128754222"
"chr8",128795627,128954308,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:128795627:128954308"
"chr8",129382528,129400486,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:129382528:129400486"
"chr8",129406157,129432431,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:129406157:129432431"
"chr8",129478423,129652560,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:129478423:129652560"
"chr8",129655063,129701566,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:129655063:129701566"
"chr8",129721776,129784033,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:129721776:129784033"
"chr8",129832294,129893855,"NCIH2122_LUNG_AA_amplicon9_amplicon9","LUNG","8:129832294:129893855"
"chr8",102190334,102191201,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:102190334:102191201"
"chr8",127948196,128084279,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:127948196:128084279"
"chr8",128350902,128417197,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128350902:128417197"
"chr8",128503203,128515328,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128503203:128515328"
"chr8",128542809,128567717,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128542809:128567717"
"chr8",128568466,128574499,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128568466:128574499"
"chr8",128579510,128588859,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128579510:128588859"
"chr8",128601115,128608017,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128601115:128608017"
"chr8",128608769,128618666,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128608769:128618666"
"chr8",128625852,128633198,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128625852:128633198"
"chr8",128647993,128667696,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128647993:128667696"
"chr8",128668453,128684892,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128668453:128684892"
"chr8",128694603,128704714,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128694603:128704714"
"chr8",128705525,128714929,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128705525:128714929"
"chr8",128718276,128726255,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128718276:128726255"
"chr8",128744377,128751931,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128744377:128751931"
"chr8",128770246,128775703,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128770246:128775703"
"chr8",128863612,128869251,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128863612:128869251"
"chr8",128882378,128888251,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128882378:128888251"
"chr8",128901859,128907235,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128901859:128907235"
"chr8",128921119,128927211,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128921119:128927211"
"chr8",128928242,128933441,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128928242:128933441"
"chr8",128938312,128944880,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128938312:128944880"
"chr8",128949878,128963904,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128949878:128963904"
"chr8",128998164,129008990,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:128998164:129008990"
